韦	1152	4
韨	115213544	9
匦	11521355	8
韫	1152251125221	13
韬	11523443321511	14
违	1152454	7
夀	11525121251124	14
韧	1152534	7
戋	11534	5
刬	1153422	7
盏	1153425221	10
云	1154	4
专	1154	4
弌	1154	4
㦶	1154121534	10
䲰	115432511154444	15
魂	1154325113554	13
䰟	1154325113554	13
叆	11543443451354	14
运	1154454	7
叇	115451124134454	15
䢵	115452	6
动	115453	6
迃	115454	6
十	12	2
丁	12	2
丅	12	2
工	121	3
土	121	3
士	121	3
扌	121	3
㠪	1211	4
拝	12111112	8
㨹	12111121112511	14
㩨	121111211125114544	18
揳	121111253134	12
𡐤	121111253554234	15
𢭏	1211113124	10
捧	12111134112	11
埲	12111134112	11
揍	121111341134	12
堾	121111342511	12
𢰦	121111342511	12
搸	1211113431234	13
摏	12111134321511	14
挷	121111352	9
垹	121111352	9
圩	121112	6
扜	121112	6
扞	121112	6
抂	1211121	7
匪	1211121115	10
挵	1211121132	10
埥	12111212511	11
掅	12111212511	11
㧼	12111213534	11
𡊩	12111214	8
拭	121112154	9
塐	1211121554234	13
㨞	1211121554234	13
搆	1211122125211	13
抹	12111234	8
抺	12111234	8
𧡘	121112342511135	15
款	121112343534	12
隷	1211123451124134	16
㘫	1211132	7
㙽	121113251113251134	18
𢬿	1211132534	10
扶	1211134	7
攆	121113411341251112	18
撵	121113411341512	15
攅	121113411342511134	18
㩑	121113421112111	15
𢶍	1211134211121111	16
掭	12111342444	11
㧷	1211134251	10
摫	12111342511135	14
抚	1211135	7
抏	1211135	7
坃	1211135	7
𢫨	121113534	9
圬	121115	6
扝	121115	6
長	12111534	8
坛	1211154	7
抟	1211154	7
抎	1211154	7
镸	1211154	7
䦋	12111541121533134	17
䦈	121115413121	12
镾	121115413425234343434	21
镽	1211154134432511234	19
瓺	12111541554	11
䦊	1211154211234	13
䦉	121115425351	12
镻	121115431134	12
镺	12111543134	11
髟	1211154333	10
鬊	1211154333111342511	19
髨	12111543331135	14
䯷	1211154333113534	16
髻	1211154333121251	16
䯵	121115433312132	15
䰏	121115433312132411121534	24
䰇	121115433312132511	18
鬐	12111543331213352511	20
髶	1211154333122111	16
鬗	121115433312212523434	21
髸	1211154333122134	16
髰	121115433312215	15
鬕	12111543331222511134	20
䰒	12111543331224511353334	23
鬒	12111543331225111134	20
鬍	1211154333122513511	19
髤	12111543331234	14
䰍	121115433312343424134	21
鬆	121115433312343454	18
䰊	12111543331251124124	20
鬎	1211154333125123422	19
䰐	121115433312512531425221	24
髩	12111543331255	14
鬌	1211154333131212511	19
䯱	12111543331324	14
髬	121115433313241	15
䰅	1211154333132511134	19
髵	1211154333132522	16
髡	1211154333135	13
髪	12111543331354	14
髮	121115433313544	15
䰑	121115433314524444132522	24
髭	1211154333212135	16
䰕	12111543332153152512125221	26
䯯	12111543332343	14
髾	12111543332432511	17
髥	12111543332511	14
䯶	121115433325111	15
鬝	1211154333251125112511	22
鬜	1211154333251125113511	22
鬘	121115433325112522154	21
鬄	121115433325113533	18
䰋	12111543332511445531	20
䰎	1211154333251212511134	22
䰄	1211154333251214544	19
髷	1211154333251221	16
鬞	12111543332512211311534	23
髯	121115433325211	15
鬟	12111543332522112513534	23
鬛	1211154333253415445445	22
髦	12111543333115	14
𩬎	12111543333121	14
䯻	12111543333121251	17
䰖	12111543333121353121352511134	29
髺	1211154333312251	16
鬁	12111543333123422	17
鬏	1211154333312344334	19
䰀	121115433331234531	18
鬂	12111543333212134	17
髹	1211154333321234	16
䰓	1211154333325111445344153	25
䰌	121115433333234342134	21
鬚	1211154333333132511134	22
䰉	12111543333354143554	20
䰔	1211154333335414355425221	25
鬠	12111543333412524312511	23
䯰	12111543333432	14
髽	12111543333434121	17
䰂	121115433334431234	18
鬉	1211154333345234354	19
䯳	12111543333454	14
髠	121115433335	12
鬅	121115433335113511	18
䯾	121115433335121251	18
䯺	12111543333515251	17
䯼	12111543333534334	17
𩬅	12111543333541	14
髼	12111543333541112	17
鬔	12111543333541112454	20
鬇	1211154333355112	16
髱	121115433335515	15
䯴	12111543333554	14
鬤	121115433341251251112213534	27
䯿	121115433341343412	18
䯸	1211154333413534	16
䯽	121115433341431251	18
髣	12111543334153	14
䰈	1211154333431113121	19
鬈	121115433343113455	18
䰃	121115433343122431	18
鬋	1211154333431251122	19
䭮	1211154333431325111	19
鬑	12111543334315112234	20
鬙	1211154333432524312511	22
鬀	12111543334351523	17
髿	12111543334412343	17
鬃	121115433344511234	18
鬢	121115433344512332511134	24
鬓	12111543334453212134	20
鬡	121115433344545442522112	24
髧	12111543334535	14
䰁	121115433351124134	18
䯹	12111543335114554	17
髴	121115433351532	15
𩯕	1211154333521214154325	22
䯲	12111543335215	14
髢	1211154333525	13
䯮	121115433353	12
髫	121115433353251	15
髲	121115433353254	15
䯭	121115433354	12
髳	121115433354523	15
䰆	1211154333545231234	19
鬖	121115433354545434333	21
鬣	1211154333555253415445445	25
䦇	1211154345	10
镹	1211154354	10
肆	1211154511112	13
镼	121115451352252	15
打	12112	5
圢	12112	5
扛	121121	6
圭	121121	6
扗	121121	6
䥅	121121112134112431	18
掁	12112111534	11
㙊	12112111534	11
挂	121121121	9
垚	121121121	9
壵	121121121	9
𡋣	121121121	9
㙓	121121121121	12
㠭	121121121121	12
撓	121121121121135	15
墝	121121121121135	15
堯	121121121135	12
㚁	121121121135121121121135	24
𡭄	121121121135124	15
顤	121121121135132511134	21
𢿣	1211211211352154	16
䴃	12112112113532511154444	23
遶	121121121135454	15
翹	121121121135541541	18
掛	12112112124	11
持	121121124	9
封	121121124	9
堼	121121124121	12
鞤	121121124122125112	18
