㓦划	bo hua
扃键	jiong jian
扃鐍	jiong jue
扃门	jiong men
扃关	jiong guan
扇形角	shan xing jiao
扇火止沸	shan huo zhi fei
扈从	hu cong
扈从	hu zong
手剎	shou sha
手写辨似	shou xie bian si
手心手背都是肉	shou xin shou bei dou shi rou
手扒鸡	shou pa ji
手榜	shou bang
手榴弹	shou liu dan
手癣	shou xian
手背朝下	shou bei chao xia
手足重茧	shou zu chong jian
手长的	shou chang de
手长衣袖短	shou chang yi xiu duan
手面赚吃	shou mian zhuan chi
才疏德薄	cai shu de bo
才行	cai xing
才调	cai diao
才轻德薄	cai qing de bo
才高行厚	cai gao xing hou
才高行洁	cai gao xing jie
扎乎	zha hu
扎住	zha zhu
扎卡维	zha ka wei
扎嘴	zha zui
扎堆	zha dui
扎垫	zha dian
扎实	zha shi
扎心	zha xin
扎手	zha shou
扎手舞脚	zha shou wu jiao
扎括	zha gua
扎括	zha kuo
扎掂	zha dian
扎挣	zha zheng
扎撒	zha sa
扎根	zha gen
扎枪	zha qiang
扎煞	zha sha
扎猛子	zha meng zi
扎眉扎眼	zha mei zha yan
扎眼	zha yan
扎空枪	zha kong qiang
扎窝子	zha wo zi
扎筏子	zha fa zi
扎缚	zha fu
扎罚子	zha fa zi
扎耳朵	zha er duo
扎脚	zha jiao
扎花	zha hua
扎草	zha cao
扎西	zha xi
扎进	zha jin
扎针	zha zhen
扑作教刑	pu zuo jiao xing
扑打	pu da
扑挞	pu ta
扒上	pa shang
扒城	pa cheng
扒山越岭	pa shan yue ling
扒得高跌得重	ba de gao die de zhong
扒房	ba fang
扒手	pa shou
扒拉大山	ba la da shan
扒推	pa tui
扒沙	pa sha
扒灰	pa hui
扒犁	pa li
扒窃	pa qie
扒糕	pa gao
扒粪的	pa fen de
扒街淘空	pa jie tao kong
扒头探脑	ba tou tan nao
扒饭	pa fan
扒鲁	ba lu
打干哕	da gan yue
打什么	da shen me
打仔	da zai
打倒褪	da dao tun
打佥	da qian
打参	da can
打呵欠	da he qian
打和	da huo
打和哄	da huo hong
打哆嗦	da duo suo
打喳喳	da cha cha
打嚏喷	da ti fen
打地铺	da di pu
打工仔	da gong zai
打差	da chai
打幡	da fan
打弹	da dan
打弹子	da dan zi
打弹珠	da dan zhu
打悲阿	da bei e
打抹	da mo
打拚	da pan
打挟	da jia
打揭	da jie
打揲	da she
打击乐	da ji yue
打击乐器	da ji yue qi
打击率	da ji lv
打攒盘	da cuan pan
打搅	da jiao
打死人不偿命	da si ren bu chang ming
打毷氉	da mao zao
打没头坛	da mo tou tan
打净捞干	da jing lao gan
打爻	da yao
打的	da di
打着	da zhao
打着	da zhe
打破头屑	da po tou xie
打窠地	da ke di
打细泊	da xi bo
打胸厮撞	da xiong si zhuang
打落牙齿和血吞	da luo ya chi huo xie tun
打落牙齿和血吞	da luo ya chi huo xue tun
打虎不着	da hu bu zhao
打虎还得亲兄弟	da hu hai dei qin xiong di
打调	da tiao
打诨	da hun
打诨插科	da hun cha ke
打诨发科	da hun fa ke
打诨说笑	da hun shuo xiao
打踅	da xue
打踅磨	da xue mo
打趸	da dun
打都磨子	da du mo zi
打野呵	da ye he
打颏歌	da hai ge
打颤	da chan
打颤	da zhan
打饱咯	da bao ge
打点行装	da dian xing zhuang
打齁	da hou
打齁睡	da hou shui
托地	tuo di
托熟	tuo shu
扛子火烧	gang zi huo shao
扛长活	kang chang huo
扛鼎	gang ding
扛鼎士	gang ding shi
扛鼎拔山	gang ding ba shan
扞拒	han ju
扞格	han ge
扞格不入	han ge bu ru
扞格不通	han ge bu tong
扞蔽	han bi
扞卫	han wei
扠手	cha shou
扠腰	cha yao
扣人心弦	kou ren xin xian
扣缴率	kou jiao lv
扣舷	kou xian
扦插繁殖法	qian cha fan zhi fa
扭劲	niu jin
扭扭屹屹	niu niu yi yi
扭转乾坤	niu zhuan qian kun
扯扯拽拽	che che ye ye
扯曳	che ye
扯曳	che yi
扱鞋	xi xie
扳厚	pan hou
扳差头	ban cuo tou
扳留	pan liu
扳藤附葛	pan teng fu ge
扳话	pan hua
扳谈	pan tan
扶掖	fu ye
扶正黜邪	fu zheng chu xie
批削	pi xue
批抹	pi mo
批行	pi xing
批郤导窾	pi xi dao kuan
批风抹月	pi feng mo yue
扺掌	zhi zhang
扺掌而谈	zhi zhang er tan
扼吭	e hang
扼吭拊背	e hang fu bei
找不着	zhao bu zhao
找乐子	zhao le zi
找着	zhao zhao
找谁	zhao shui
承差	cheng chai
承蜩	cheng tiao
承行	cheng xing
承重	cheng zhong
承重孙	cheng zhong sun
承重墙	cheng zhong qiang
承露	cheng lu
技俩	ji liang
技术参数	ji shu can shu
抄扎	chao zha
抄掇	chao duo
抄没	chao mo
抉擿	jue ti
抉瑕擿衅	jue xia ti xin
把似	ba si
把都儿	ba du er
抑塞	yi se
抑塞磊落	yi se lei luo
抓哏	zhua gen
抔土未干	pou tu wei gan
投劾	tou he
投地	tou di
投宿	tou su
投弹	tou dan
投手防御率	tou shou fang yu lv
投洽	tou qia
投洽	tou xia
投行	tou hang
投赁	tou lin
投资报酬率	tou zi bao chou lv
投资银行	tou zi yin hang
投醪	tou lao
投降	tou xiang
投降主义	tou xiang zhu yi
投降书	tou xiang shu
抗凝血剂	kang ning xie ji
抗凝血剂	kang ning xue ji
抗毒血清	kang du xie qing
抗毒血清	kang du xue qing
抗美援朝	kang mei yuan chao
抗菌血清	kang jun xie qing
抗菌血清	kang jun xue qing
抗血清	kang xie qing
抗血清	kang xue qing
抗颉作用	kang xie zuo yong
折价率	zhe jia lv
折射角	zhe she jiao
折戟沈河	zhe ji chen he
折本	she ben
折秤	she cheng
折耗	she hao
折耗	zhe hao
折肱	zhe gong
折长补短	zhe chang bu duan
抨弹	peng tan
抨击	peng ji
披亚诺	pi ya nuo
披剃	pi ti
披卷	pi juan
披味	pi wei
披哆	pi che
披垂	pi chui
披坚执锐	pi jian zhi rui
披子	pi zi
披屋	pi wu
披巾	pi jin
披帛	pi bo
披心	pi xin
披心腹	pi xin fu
披怀	pi huai
披房	pi fang
披拂	pi fu
披掛	pi gua
披掛上阵	pi gua shang zhen
披掛绰鎗	pi gua chuo qiang
披撇	pi pie
披散	pi san
披文	pi wen
披星带月	pi xing dai yue
披星戴月	pi xing dai yue
披枝害心	pi zhi hai xin
披枷带锁	pi jia dai suo
披榛	pi zhen
披榛采兰	pi zhen cai lan
披毛犀	pi mao xi
披氅	pi chang
披沙拣金	pi sha jian jin
披沙简金	pi sha jian jin
披涉	pi she
披沥	pi li
披沥肝胆	pi li gan dan
披玩	pi wan
披甲	pi jia
披着羊皮的狼	pi zhe yang pi de lang
披砍	pi kan
披秉	pi bing
披秒	pi miao
披红	pi hong
披红挂䌽	pi hong gua cai
披索	pi suo
披缁	pi zi
披肝掛胆	pi gan gua dan
披肝沥胆	pi gan li dan
披肩	pi jian
披腹心	pi fu xin
披荊带棘	pi jing dai ji
披荊斩棘	pi jing zhan ji
披荊棘	pi jing ji
披蓑衣	pi suo yi
披萨	pi sa
披衣	pi yi
披衣菌	pi yi jun
披裘负薪	pi qiu fu xin
披襟	pi jin
披览	pi lan
披读	pi du
披豁	pi huo
披轩	pi xuan
披金戴玉	pi jin dai yu
披针形叶	pi zhen xing ye
披阅	pi yue
披离	pi li
披云	pi yun
披云雾睹青天	pi yun wu du qing tian
披霜冒露	pi shuang mao lu
披露	pi lu
披露肝胆	pi lu gan dan
披靡	pi mi
披头	pi tou
披头四合唱团	pi tou si he chang tuan
披头散发	pi tou san fa
披头跣足	pi tou xian zu
披颜	pi yan
披风	pi feng
披发	pi fa
披发入山	pi fa ru shan
披发垢面	pi fa gou mian
披发涂面	pi fa tu mian
披发左衽	pi fa zuo ren
披发缨冠	pi fa ying guan
披发藻目	pi fa zao mu
披麻带孝	pi ma dai xiao
披麻带索	pi ma dai suo
披麻救火	pi ma jiu huo
披麻皴	pi ma cun
抱厦厅	bao xia ting
抱朴	bao pu
抱朴子	bao pu zi
抱椠怀铅	bao qian huai qian
抱蔓摘瓜	bao man zhai gua
抱角床	bao jiao chuang
抱关击柝	bao guan ji tuo
抵偿	di chang
抵瑕蹈隙	di xia dao xi
抹一鼻子灰	mo yi bi zi hui
抹上	mo shang
抹下脸	mo xia lian
抹不下来	mo bu xia lai
抹不着影	mo bu zhao ying
抹不开	mo bu kai
抹丟	mo diu
抹了	mo le
抹去	mo qu
抹嘴	mo zui
抹嘴吃	mo zui chi
抹土搽灰	mo tu cha hui
抹媚	mo mei
抹子	mo zi
抹平	mo ping
抹抹丟丟	mo mo diu diu
抹抹颩颩	mo mo diu diu
抹拭	mo shi
抹搭	mo da
抹抢	mo qiang
抹挞	mo ta
抹月批风	mo yue pi feng
抹月披风	mo yue pi feng
抹杀	mo sha
抹油嘴	mo you zui
抹泪	mo lei
抹泪揉眵	mo lei rou chi
抹灭	mo mie
抹煞	mo sha
抹片	mo pian
抹牌	mo pai
抹牌道字	mo pai dao zi
抹稀泥	mo xi ni
抹粉施脂	mo fen shi zhi
抹胸	mo xiong
抹脖子	mo bo zi
抹腹	mo fu
抹脸	mo lian
抹芒头	mo mang tou
抹贴	mo tie
抹跄	mo qiang
抹邻	mo lin
抹鎗	mo qiang
抹零	mo ling
抹面	mo mian
抹头	mo tou
抹额	mo e
抹颩	mo diu
抹香鲸	mo xiang jing
抹黑	mo hei
押差	ya chai
押榜	ya bang
押番	ya fan
抽咽	chou ye
抽地	chou di
抽屉	chou ti
抽搐	chou chu
抽样调查	chou yang diao cha
抽烟	chou yan
抽薪止沸	chou xin zhi fei
抽血	chou xie
抽血	chou xue
抽调	chou diao
抽厘	chou li
拂士	bi shi
拄笏看山	zhu hu kan shan
拆屋还地	chai wu huan di
拆款利率	chai kuan li lv
拆烂污	chai lan wu
拆烂污	che lan wu
拆骨还父	chai gu huan fu
拈折	dian zhe
拈掇	dian duo
拈掇	nian duo
拈轻怕重	nian qing pa zhong
拉丁美洲音乐	la ding mei zhou yin yue
拉伯兰	la bo lan
拉口子要见血	la kou zi yao jian xie
拉口子要见血	la kou zi yao jian xue
拉名粮长	la ming liang zhang
拉塞福	la se fu
拉弄	la long
拉弦子	la xian zi
拉抽屉	la chou ti
拉斐尔	la fei er
拉曳	la ye
拉曳	la yi
拉沓	la ta
拉祜族	la hu zu
拉祜语	la hu yu
拉胚	la pei
拉长	la chang
拉长线	la chang xian
拉长耳朵听	la chang er duo ting
拉长脸	la chang lian
拊髀	fu bi
拋尸露骨	pao shi lu gu
拋声调嗓	pao sheng diao sang
拋头露面	pao tou lu mian
拌和	ban huo
拌折	pan zhe
拍塞	pai se
拍纸簿	pai zhi bu
拍胸脯	pai xiong pu
拍膝嗟叹	pai xi jie tan
拍卖行	pai mai hang
拍马挺鎗	pai ma ting qiang
拏空	na kong
拏云	na yun
拏云攫石	na yun jue shi
拐弯抹角	guai wan mo jiao
拐裨子	guai pi zi
拐角	guai jiao
拑制	qian zhi
拑口	qian kou
拒塞	ju se
拒烟	ju yan
拓印	ta yin
拓地	tuo di
拓本	ta ben
拓殖	tuo zhi
拓片	ta pian
拓碑	ta bei
拔了萝卜地皮宽	ba le luo bo di pi kuan
拔地	ba di
拔地倚天	ba di yi tian
拔地参天	ba di can tian
拔地摇山	ba di yao shan
拔地而起	ba di er qi
拔山扛鼎	ba shan gang ding
拔摋	ba sha
拔本塞原	ba ben se yuan
拔本塞源	ba ben se yuan
拔着短筹	ba zhao duan chou
拔脯子	ba pu zi
拔舌地狱	ba she di yu
拔苗助长	ba miao zhu zhang
拔薤	ba xie
拔都	ba du
拔都鲁	ba du lu
拖地	tuo di
拖地胆	tuo di dan
拖地锦	tuo di jin
拖天扫地	tuo tian sao di
拖拖栖栖	tuo tuo qi qi
拖拽	tuo ye
拖曳	tuo ye
拖曳伞	tuo ye san
拖曳机	tuo ye ji
拖沓	tuo ta
拖男挟女	tuo nan xie nv
拖鎗拽棒	tuo qiang ye bang
拗不登	ao bu deng
拗不过	ao bu guo
拗口	ao kou
拗口令	ao kou ling
拗口风	ao kou feng
拗句	ao ju
拗强	ao jiang
拗别	ao bie
拗别搅炒	ao bie jiao chao
拗怒	yu nu
拗性	niu xing
拗曲作直	ao qu zuo zhi
拗甜	ao tian
拗相公	niu xiang gong
拗花	ao hua
拗处	ao chu
拗蛮	ao man
拗体	ao ti
拗体诗	ao ti shi
拘挛	ju lvan
拘挛补衲	ju lvan bu na
拙著	zhuo zhu
拚却	pan que
拚命	pan ming
拚舍	pan she
拚弃	pan qi
拚死吃河豚	pan si chi he tun
拚生尽死	pan sheng jin si
拚绝	pan jue
拚老命	pan lao ming
拚斗	pan dou
招商银行	zhao shang yin hang
招摇撞骗	zhao yao zhuang pian
招权纳赂	zhao quan na lu
招聘	zhao pin
招行	zhao hang
招降	zhao xiang
招降纳叛	zhao xiang na pan
招降纳顺	zhao xiang na shun
拜天地	bai tian di
拜手稽首	bai shou qi shou
拜稽首	bai qi shou
括刷	gua shua
括剌剌	gua la la
括囊	gua nang
括囊	kuo nang
括囊守禄	gua nang shou lu
括囊守禄	kuo nang shou lu
括囊拱手	gua nang gong shou
括囊拱手	kuo nang gong shou
括地皮	gua di pi
括帖	gua tie
括帖	kuo tie
括号	gua hu
括号	kuo hu
括括叫	gua gua jiao
括搭	gua da
括毒	gua du
括号	gua hao
括号	kuo hao
括发	gua fa
括发	kuo fa
拭目以俟	shi mu yi si
拱手垂裳	gong shou chui chang
拱手投降	gong shou tou xiang
拱手而降	gong shou er xiang
拳挛	quan lvan
拴搐豔段	shuan chu yan duan
拴着	shuan zhe
拶子	zan zi
拶指	zan zhi
拶满	za man
拶逼	za bi
拼扒	pin pa
拼花地板	pin hua di ban
拽布披麻	zhuai bu pi ma
拽扎	zhuai zha
拽欛扶犁	zhuai ba fu li
拽耙扶犁	zhuai pa fu li
拾人涕唾	shi ren ti tuo
拾掇	shi duo
拾级	she ji
拾级而上	she ji er shang
拾芥	shi jie
拿不了	na bu liao
拿什么	na shen me
拿捻	na nie
拿粗挟细	na cu xie xi
拿腔拿调	na qiang na diao
持人长短	chi ren chang duan
持正不阿	chi zheng bu e
持续增长	chi xu zeng zhang
持行	chi xing
持重	chi zhong
指地为盟	zhi di wei meng
指天画地	zhi tian hua di
指天说地	zhi tian shuo di
指沓	zhi ta
指爪	zhi zhao
指爪	zhi zhua
指瑕造隙	zhi xia zao xi
指谪	zhi zhe
指长话短	zhi chang hua duan
指麾	zhi hui
按彊助弱	an qiang zhu ruo
按调	an diao
挑茶斡刺	tiao cha wo ci
挑重担	tiao zhong dan
挓挲	zha sha
挖地弹	wa di dan
挖墙角	wa qiang jiao
挨呲	ai ci
挨山塞海	ai shan se hai
挨挨桚桚	ai ai za za
挨肩擦膀	ai jian ca bang
挨风缉缝	ai feng ji feng
挨风缉缝	ai feng qi feng
振慴	zhen zhe
振翮	zhen he
振衣濯足	zhen yi zhuo zu
挺撞	ting zhuang
挼挲	nuo suo
挼搓	nuo cuo
挽救不了	wan jiu bu liao
挟主行令	xie zhu xing ling
挟人捉将	xie ren zhuo jiang
挟冰求温	xie bing qiu wen
挟制	xie zhi
挟势	xie shi
挟势弄权	xie shi nong quan
挟天子之命	xie tian zi zhi ming
挟天子以令诸侯	xie tian zi yi ling zhu hou
挟嫌	xie xian
挟山超海	xie shan chao hai
挟带	xie dai
挟恨	xie hen
挟持	xie chi
挟击	xie ji
挟书律	xie shu lv
挟朋树党	xie peng shu dang
挟权倚势	xie quan yi shi
挟泰山超北海	xie tai shan chao bei hai
挟细拿粗	xie xi na cu
挟纩	xie kuang
挟义	xie yi
挟贵	xie gui
挟贵倚势	xie gui yi shi
挟长	xie zhang
捃摭	jun zhi
捅娄子	tong lou zi
捉将挟人	zhuo jiang xie ren
捉搦歌	zhuo nuo ge
捉襟肘见	zhuo jin zhou xian
捉襟见肘	zhuo jin xian zhou
捉迷藏	zhuo mi cang
捉颤	zhuo chan
捉颤	zhuo zhan
捋胳膊	luo ge bo
捋臂将拳	luo bi jiang quan
捋臂揎拳	luo bi xuan quan
捋虎须	le hu xu
捋袖揎拳	luo xiu xuan quan
捋采	lv cai
捎色	shao shai
捏塑	nie su
捏弄	nie long
捐血	juan xie
捐血	juan xue
捕捉畋猎	bu zhuo tian lie
捕缉	bu ji
捕缉	bu qi
捧哏	peng gen
捧檄	peng xi
捧角	peng jue
捧凤凰似的	peng feng huang si de
舍我其谁	she wo qi shei
舍短取长	she duan qu chang
舍车保帅	she ju bao shuai
扪参历井	men shen li jing
扪隙发罅	men xi fa xia
捭阖	bai he
捭阖纵横	bai he zong heng
捱风缉缝	ai feng ji feng
捱风缉缝	ai feng qi feng
卷入漩涡	juan ru xuan wo
卷土重来	juan tu chong lai
卷甲重来	juan jia chong lai
卷烟	juan yan
捶挞	chui ta
捷给	jie ji
捻乱	nian luan
捻匪	nian fei
捻合	nie he
捻塑	nie su
捻子	nian zi
捻手捻脚	nie shou nie jiao
捻掿	nian nuo
捻泛	nian fan
捻熄	nian xi
捻着鼻子	nie zhe bi zi
捻神捻鬼	nian shen nian gui
捻脚捻手	nie jiao nie shou
捻舌	nie she
捻酸	nian suan
捻针	nian zhen
捻鼻	nie bi
捽兀	zu wu
捽扯	zu che
捽脱	zu tuo
掀天揭地	xian tian jie di
掀天斡地	xian tian wo di
掀露	xian lu
掂掇	dian duo
掂斤抹两	dian jin mo liang
掂梢折本	dian shao she ben
扫地	sao di
扫地俱尽	sao di ju jin
扫地出门	sao di chu men
扫地滔天	sao di tao tian
扫地无余	sao di wu yu
扫田刮地	sao tian gua di
掇坐	duo zuo
掇弄	duo nong
掇拾	duo shi
掇东掇西	duo dong duo xi
掇画	duo hua
掇肩	duo jian
掇臀捧屁	duo tun peng pi
掇芹	duo qin
掇蜂谮子	duo feng zen zi
掇转	duo zhuan
掇送	duo song
掇遗	duo yi
掇那	duo nuo
掇青拾紫	duo qing shi zi
掉鎗花	diao qiang hua
掎摭	ji zhi
掎裳连襼	ji chang lian yi
掎角	ji jue
掎角之势	ji jue zhi shi
掏澄	tao cheng
排泄	pai xie
排泄器官	pai xie qi guan
排泄物	pai xie wu
排笮	pai ze
排行	pai hang
排行榜	pai hang bang
排迮	pai zuo
排长	pai zhang
掖垣	ye yuan
掖庭	ye ting
掖掖盖盖	ye ye gai gai
掖省	ye sheng
掖县	ye xian
掖门	ye men
掘强	jue jiang
挣䦟	zheng chuai
挣扎	zheng zha
掛牌汇率	gua pai hui lv
掛角	gua jiao
掛角读书	gua jiao du shu
掛轴	gua zhou
掞张	shan zhang
掞藻	shan zao
掞藻飞声	shan zao fei sheng
掠地	lve di
掠地攻城	lve di gong cheng
掠脂斡肉	lve zhi wo rou
掠食	lve shi
采取行动	cai qu xing dong
采摭	cai zhi
采撷	cai jie
采行	cai xing
探囊胠箧	tan nang qu qie
探本溯源	tan ben su yuan
探着	tan zhao
探著	tan zhu
探亲家	tan qing jia
探骑	tan ji
掣光	che guang
掣刀	che dao
掣后腿	che hou tui
掣曳	che ye
掣曳	che yi
掣签	che qian
掣肘	che zhou
掣脱	che tuo
掣襟肘见	che jin zhou xian
掣襟露肘	che jin lu zhou
掣电	che dian
掣验	che yan
掤扒	bing ba
掤扒吊栲	bing ba diao kao
接合生殖	jie he sheng zhi
接地	jie di
接地线	jie di xian
接捻子	jie nian zi
接洽	jie qia
接洽	jie xia
接淅而行	jie xi er xing
控弦	kong xian
推天抢地	tui tian qiang di
推度	tui duo
推推攮攮	tui tui nang nang
推撞	tui zhuang
推本溯源	tui ben su yuan
推舟於陆	tui zhou yu lu
推行	tui xing
推调	tui tiao
推诿塞责	tui wei se ze
推贤乐善	tui xian yao shan
推贤逊能	tui xian xun neng
推逊	tui xun
推重	tui zhong
推铇	tui bao
掩咯鸡	yan luo ji
掩没	yan mo
掩瑕藏疾	yan xia cang ji
掩罪藏恶	yan zui cang e
掩藏	yan cang
措颜无地	cuo yan wu di
掮客	qian ke
掮着	qian zhe
掿战	nuo zhan
掿沙	nuo sha
拣便宜	jian pian yi
拣日不如撞日	jian ri bu ru zhuang ri
揃平	jian ping
揄扬	yu yang
揄狄	yao di
揄袂	yu mei
揆度	kui duo
揆情度理	kui qing duo li
揉弦	rou xian
揉眵抹泪	rou chi mo lei
揉着痒处	rou zhao yang chu
揎拳捋袖	xuan quan luo xiu
揎拳掳袖	xuan quan luo xiu
提不起劲	ti bu qi jin
提傀儡上戏场	ti kui lei shang xi chang
提前还贷	ti qian huan dai
提掇	ti duo
提掖	ti ye
提撕	ti xi
提溜	di liu
提溜着心	di liu zhe xin
提省	ti xing
提行	ti hang
提调	ti diao
提防	di fang
提防	ti fang
提高效率	ti gao xiao lv
提齁	ti hou
插扛子	cha gang zi
插架万轴	cha jia wan zhou
插火坑	cha huo kang
插科使砌	cha ke shi qie
插科打诨	cha ke da hun
插金披绮	cha jin pi qi
揖揖	ji ji
扬州弹词	yang zhou tan ci
扬己露才	yang ji lu cai
扬幡招魂	yang fan zhao hun
扬幡擂鼓	yang fan lei gu
扬汤止沸	yang tang zhi fei
扬眉抵掌	yang mei zhi zhang
扬葩振藻	yang pa zhen zao
扬长	yang chang
扬长而去	yang chang er qu
扬长避短	yang chang bi duan
换手率	huan shou lv
换生不如守熟	huan sheng bu ru shou shu
换血	huan xie
换血	huan xue
换行	huan hang
揠苗助长	ya miao zhu zhang
握拳透爪	wo quan tou zhao
握拳透爪	wo quan tou zhua
握椠怀铅	wo qian huai qian
握发吐哺	wo fa tu bu
揣度	chuai duo
揩干	kai gan
揩抹	kai mo
揩台抹凳	kai tai mo deng
揩汗	kai han
揩泪	kai lei
揩背	kai bei
揪心扒肝	jiu xin ba gan
揪捽	jiu zu
揪挦	jiu xun
揭不开锅	jie bu kai guo
揭傒斯	jie xi si
揭债	jie zhai
揭债还债	jie zhai huan zhai
揭布	jie bu
揭帖	jie tie
揭席	jie xi
揭幕	jie mu
揭底	jie di
揭底牌	jie di pai
揭折	jie zhe
揭挑	jie tiao
揭揭	jie jie
揭晓	jie xiao
揭榜	jie bang
揭橥	jie zhu
揭水	jie shui
揭火	jie huo
揭疮疤	jie chuang ba
揭发	jie fa
揭白	jie bai
揭白旗	jie bai qi
揭短	jie duan
揭破	jie po
揭示	jie shi
揭祕	jie mi
揭穿	jie chuan
揭竿	jie gan
揭竿而起	jie gan er qi
揭老底	jie lao di
揭盖子	jie gai zi
揭裱	jie biao
揭谛	jie di
揭丑	jie chou
揭开	jie kai
揭露	jie lu
揲蓍	she shi
援藏	yuan zang
揶揄	ye yu
搆不着	gou bu zhao
搆陷	gou xian
搆隙	gou xi
搊弹词	chou tan ci
搋麪	chuai mian
损害赔偿	sun hai pei chang
损者三乐	sun zhe san yao
搏髀	bo bi
搐动	chu dong
搐搐搦搦	chu chu nuo nuo
搐搦	chu nuo
搐缩	chu suo
搐风	chou feng
搓圆仔	cuo yuan zi
搓圆仔汤	cuo yuan zi tang
搓熟的汤团	cuo shou de tang tuan
搓粉抟朱	cuo fen tuan zhu
搔着痒处	sao zhao yang chu
摇囝仔歌	yao jian zi ge
摇摆乐	yao bai yue
摇旗吶喊	yao qi na han
摇曳	yao ye
摇曳	yao yi
摇曳生姿	yao ye sheng zi
摇曳生姿	yao yi sheng zi
摇滚乐	yao gun yue
捣碓	dao dui
捣虚批吭	dao xu pi hang
搘拄	zhi zhu
搜括	sou gua
搜章擿句	sou zhang ti ju
